N,i,time
5000,633,0.00190567
5000,639,0.001908
5000,645,0.001906
5000,651,0.00198533
5000,657,0.002708
5000,663,0.00213733
5000,669,0.002041
5000,675,0.00192767
5000,681,0.00192533
5000,687,0.002011
5000,693,0.00198667
5000,699,0.001888
5000,705,0.00203967
5000,711,0.00190933
5000,717,0.00190633
5000,723,0.00204533
5000,729,0.00187433
5000,735,0.001977
5000,741,0.00195033
5000,747,0.00188733
5000,753,0.00198167
5000,759,0.001946
5000,765,0.00191167
5000,771,0.00221633
5000,777,0.00205133
5000,783,0.002009
5000,789,0.001938
5000,795,0.001952
5000,801,0.00199
5000,807,0.001955
5000,813,0.001959
5000,819,0.00191767
5000,825,0.00199967
5000,831,0.00195633
5000,837,0.00203833
5000,843,0.002275
5000,849,0.001932
5000,855,0.00200367
5000,861,0.00201833
5000,867,0.00196333
5000,873,0.00222967
5000,879,0.001987
5000,885,0.00198967
5000,891,0.00194367
5000,897,0.002044
5000,903,0.00199733
5000,909,0.00194967
5000,915,0.00195533
5000,921,0.002021
5000,927,0.00196533
5000,933,0.001987
5000,939,0.00213367
5000,945,0.00191267
5000,951,0.001964
5000,957,0.00199933
5000,963,0.001906
5000,969,0.001917
5000,975,0.00209833
5000,981,0.00196867
5000,987,0.00207533
5000,993,0.00191033
5000,999,0.001921
10000,1,0.004551
10000,6,0.00278367
10000,11,0.00219133
10000,16,0.00218633
10000,21,0.001794
10000,26,0.001895
10000,31,0.001862
10000,36,0.00185367
10000,41,0.00161733
10000,46,0.00160967
10000,51,0.001579
10000,56,0.00173433
10000,61,0.00155133
10000,66,0.001621
10000,71,0.00159167
10000,76,0.00168833
10000,81,0.001583
10000,86,0.00216667
10000,91,0.00274033
10000,96,0.002453
10000,101,0.00213133
10000,106,0.00185667
10000,111,0.001674
10000,116,0.001732
10000,121,0.00160667
10000,126,0.00159167
10000,131,0.00164333
10000,136,0.00163533
10000,141,0.001638
10000,146,0.001702
10000,151,0.001671
10000,156,0.00188267
10000,161,0.00187167
10000,166,0.00189067
10000,171,0.001912
10000,176,0.001874
10000,181,0.001967
10000,186,0.001816
10000,191,0.00191967
10000,196,0.001847
10000,201,0.001872
10000,206,0.00192133
10000,211,0.00185233
10000,216,0.001872
10000,221,0.001916
10000,226,0.00183633
10000,231,0.00183367
10000,236,0.00180267
10000,241,0.001824
10000,246,0.00181367
10000,251,0.00175333
10000,256,0.00171433
10000,261,0.001725
10000,266,0.00171133
10000,271,0.00179767
10000,276,0.00184767
10000,281,0.00179367
10000,286,0.00179333
10000,291,0.00179933
10000,296,0.00171733
10000,301,0.001783
10000,306,0.00177767
10000,311,0.00176767
10000,316,0.00246033
10000,321,0.002424
10000,326,0.00245067
10000,331,0.002499
10000,336,0.00246133
